field_id;scope;project_id;resource_id;offer_id;required_data;data_status;value_or_register_ref;source_file_page_cell;acceptance_criterion;owner;decision_id;review_evidence
P01;проект;;;;"Объект, адрес, код проекта/ЛСР/КАЦ, основание и ревизия задания; точный диапазон работ";NOT_CHECKED;;;"Паспорт и исходники согласованы между собой и с внутренними реквизитами XML; имя файла не заменяет эту сверку";;;
P02;проект;;;;Регион объекта, код субъекта, ценовая зона при её применимости;NOT_CHECKED;;;"Проектный адрес и территориальные основания; не смешивать с регионами поставщиков";;;
P03;проект;;;;Уровень и период цен, цель расчёта, метод, применимые редакции документов и базы;NOT_CHECKED;;;"Даты КП, период КАЦ, дата пересчёта и дата утверждения различаются; неизвестная версия не назначается по привычке";;;
P04;проект;;;;Получатель, требуемый состав результата, версия программы и целевой XML/XSD;NOT_CHECKED;;;"Различать XML ГРАНД-Сметы и XML/GGE экспертизы; заранее определить проверку импорта и требования к приложениям";;;
R01;ресурс;;;;Устойчивый ID, связь с позицией проекта/ЛСР/СВОР и строками всех предложений;NOT_CHECKED;;;"Карта соответствия по содержимому; номер строки Excel, номер КП и Number XML не считаются одним идентификатором";;;
R02;ресурс;;;;Наименование, марка/артикул либо достаточная спецификация, материал основы, назначение;NOT_CHECKED;;;"Характеристики, влияющие на цену и сопоставимость: размеры, толщина, плотность, покрытие, исполнение — по применимости; бренд сам по себе недостаточен";;;
R03;ресурс;;;;Предмет цены и комплектность: материал, оборудование, готовое изделие, комплект или работы с поставкой;NOT_CHECKED;;;"Состав подсистемы, крепёж, отделка и нанесение раскрыты; цену работ нельзя молча представить как цену материала";;;
R04;ресурс;;;;Проектные количество и единица, ревизия спецификации/ведомости;NOT_CHECKED;;;"Количество связывается с ID и хранится в реестре, даже если целевая XML-схема не имеет поля Quantity; не выдумывать атрибут";;;
R05;ресурс;;;;Группа КСР, название группы, редакция каталога и основание выбора;NOT_CHECKED;;;"Проверить все вложенные предложения и унаследованные коды; не подменять группой ОКПД2 или полным кодом ресурса. Недостающий размер не блокирует группу, если каталог его на этом уровне не различает";;;
O01;предложение;;;;Поставщик, идентифицирующие реквизиты, адрес организации;NOT_CHECKED;;;"Наименование и ИНН для применимого российского лица; КПП при применимости, иные идентификаторы для иных случаев. Отсутствующий реквизит не придумывать ради схемы; контакт необходим при уточнении, не обязательно для любого расчёта";;;
O02;предложение;;;;"Населённый пункт поставщика и код субъекта; отдельно точка отгрузки/склад, когда она нужна для доставки или поля формы";NOT_CHECKED;;;"КП, разрешённое дополнение или подтверждение поставщика; код не угадывать по названию фирмы/ИНН. Юридический адрес не доказывает склад";;;
O03;предложение;;;;"Оригинал КП, дата и номер при наличии, срок действия или статус его отсутствия; файл, страница, строка/ячейка, SHA-256";NOT_CHECKED;;;"Для предложения без номера фиксировать отсутствие номера. Дата получения/скачивания не заменяет дату цены; назначенная пользователем дата маркируется как допущение";;;
O04;предложение;;;;Единица цены и единица поставки, количество в упаковке и партии по применимости;NOT_CHECKED;;;"Установлено, за что дана цена: штука, упаковка, комплект, м², м.п. и т. д.; фасовка из названия проверена по источнику";;;
O05;предложение;;;;Исходная цена за единицу, валюта, режим и ставка НДС, состав включённых расходов;NOT_CHECKED;;;"«С НДС» не устанавливает ставку; «без НДС» не равно ставке 0%. Сумма строки и количество проверяются, если даны; цену не восстанавливать делением округлённой суммы при наличии прямой удельной цены";;;
O06;предложение;;;;Условия доставки: включена/не включена/не установлено, место назначения, применимость погрузки, разгрузки и упаковки;NOT_CHECKED;;;Включённую доставку подтверждать до нужного места и не начислять повторно. При необходимости расчёта иметь маршрут/тариф или самостоятельное обоснование. Неизвестная доставка не равна нулю;;;
O07;предложение;;;;Срок поставки, минимальная партия, скидки, условия оплаты и действия цены — если влияют на возможность закупки и сравнение;NOT_CHECKED;;;"Условия сравниваемых предложений совместимы с заданием; не выводить их из одинакового названия товара";;;
C01;расчёт;;;;Формула и коэффициент приведения единицы, количества и комплектной цены;NOT_CHECKED;;;"Источник каждого множителя, направление пересчёта, исходная и целевая единицы; одна упаковка/площадь/комплект учитываются один раз";;;
C02;расчёт;;;;ЗСР, транспорт и прочие начисления: применимость, основание, ставка/сумма, база и включённость в цену;NOT_CHECKED;;;"Отдельные проверяемые составляющие; указание пользователя относится к указанному проекту, а не становится нормативом для всех ресурсов";;;
C03;расчёт;;;;Пересчёт валюты/периода и индексы, если применяются;NOT_CHECKED;;;"Источник, дата, формула, применимость; при неприменимости — явная отметка. Не индексировать текущую цену автоматически";;;
C04;расчёт;;;;Сопоставимая итоговая цена, выбранное предложение и причины отклонения остальных;NOT_CHECKED;;;Минимум выбирать после технической проверки и приведения коммерческих условий. Автоматический минимум программы не доказывает допустимость аналога;;;
Q01;выпуск;;;;Решения о пробелах, карта изменений, результаты проверок и точные версии;NOT_CHECKED;;;"Каждое исключение имеет область, автора решения, дату и оставшееся ограничение; номера после удаления связаны со старыми через ID";;;
Q02;выпуск;;;;Проверка содержания XML, арифметики, XSD, импорта, пересчёта и приложений;NOT_CHECKED;;;"Для каждой проверки собственный результат. Реестр вложений не равен вложенным файлам; документ должен открываться по проверяемой ссылке либо поставляться отдельно с понятным порядком подключения";;;
Q03;выпуск;;;;Сам XML, одна папка сопровождения, перечень открытого и опись хешей;NOT_CHECKED;;;"Выдаётся проверенная версия; старая сохраняется целиком. Сверяются также XLSX/JSON/пояснения и реальное расположение файлов";;;
